time_stamp,node,light,sound,temp,smoke,corrected_smoke,label
22:53:11,1,,,,,,fire
22:53:12,1,,,,,,fire
22:53:13,1,,,,,,fire
22:53:14,1,,,,,,fire
22:53:15,1,1002,494,667,868,868,fire
22:53:16,1,1003,510,668,826,826,fire
22:53:17,1,1003,482,669,888,888,fire
22:53:18,1,1002,506,671,889,889,fire
22:53:19,1,1002,524,670,892,892,fire
22:53:20,1,1002,491,670,911,911,fire
22:53:21,1,1002,487,670,837,837,fire
22:53:22,1,1003,510,672,991,991,fire
22:53:23,1,,,,,,fire
22:53:24,1,1002,499,674,854,854,fire
22:53:25,1,1002,493,675,915,915,fire
22:53:26,1,1002,492,675,769,769,fire
22:53:27,1,1002,499,676,765,765,fire
22:53:28,1,1002,504,677,810,810,fire
22:53:29,1,1003,481,686,872,872,fire
22:53:30,1,1004,490,687,942,942,fire
22:53:31,1,1003,491,689,986,986,fire
22:53:32,1,1004,497,693,894,894,fire
22:53:33,1,1003,492,696,957,957,fire
22:53:34,1,1003,499,697,895,895,fire
22:53:35,1,1003,494,698,893,893,fire
22:53:36,1,1002,342,697,887,887,fire
22:53:37,1,1002,342,697,794,794,fire
22:53:38,1,1002,483,698,878,878,fire
22:53:39,1,1002,494,698,923,923,fire
22:53:40,1,1001,502,698,851,851,fire
22:53:41,1,1002,505,699,871,871,fire
22:53:42,1,,,,,,fire
22:53:43,1,1002,489,700,874,874,fire
22:53:44,1,1002,490,700,899,899,fire
22:53:45,1,1002,494,700,870,870,fire
22:53:46,1,1002,489,698,903,903,fire
22:53:47,1,1002,506,698,827,827,fire
22:53:48,1,1002,499,698,766,766,fire
22:53:49,1,1002,486,698,905,905,fire
22:53:50,1,1002,488,698,824,824,fire
22:53:51,1,1002,495,698,862,862,fire
22:53:52,1,1002,498,698,882,882,fire
22:53:53,1,1002,501,699,798,798,fire
22:53:54,1,1002,500,701,983,983,fire
22:53:55,1,1002,487,701,987,987,fire
22:53:56,1,,,,,,fire
22:53:57,1,,,,,,fire
22:53:58,1,1001,490,700,827,827,fire
22:53:59,1,1001,488,700,908,908,fire
22:54:00,1,1002,501,701,953,953,fire
22:54:01,1,1002,494,700,864,864,fire
22:54:02,1,1002,488,700,985,985,fire
22:54:03,1,1001,498,700,899,899,fire
22:54:04,1,,,,,,fire
22:54:05,1,1002,501,700,864,864,fire
22:54:06,1,,,,,,fire
22:54:07,1,,,,,,fire
22:54:08,1,1002,504,700,965,965,fire
22:54:09,1,1001,498,700,897,897,fire
22:54:10,1,1001,488,700,855,855,fire
22:54:11,1,1002,465,700,763,763,fire
22:54:12,1,1001,489,700,860,860,fire
22:54:13,1,1001,509,700,879,879,fire
22:54:14,1,1001,510,700,977,977,fire
22:54:15,1,1002,483,700,889,889,fire
22:54:16,1,1004,510,704,755,755,fire
22:54:17,1,,,,,,fire
22:54:18,1,1003,502,707,861,861,fire
22:54:19,1,,,,,,fire
22:54:20,1,1002,493,708,921,921,fire
22:54:21,1,1003,497,709,974,974,fire
22:54:22,1,1002,489,709,854,854,fire
22:54:23,1,1001,486,709,867,867,fire
22:54:24,1,1002,494,710,893,893,fire
22:54:25,1,1001,498,711,884,884,fire
22:54:26,1,1001,490,711,840,840,fire
22:54:27,1,1001,485,711,870,870,fire
22:54:28,1,1001,499,711,910,910,fire
22:54:29,1,1001,486,712,778,778,fire
22:54:30,1,1001,497,712,934,934,fire
22:54:31,1,1001,497,712,869,869,fire
22:54:32,1,1001,496,712,938,938,fire
22:54:33,1,1001,500,712,893,893,fire
22:54:34,1,1001,494,712,891,891,fire
22:54:35,1,1001,496,712,893,893,fire
22:54:36,1,1001,498,712,886,886,fire
22:54:37,1,1001,500,712,901,901,fire
22:54:38,1,1001,496,712,906,906,fire
22:54:39,1,1001,480,711,920,920,fire
22:54:40,1,1001,493,711,887,887,fire
22:54:41,1,1001,492,710,762,762,fire
22:54:42,1,1001,498,710,889,889,fire
22:54:43,1,1001,485,710,873,873,fire
22:54:44,1,1001,493,710,811,811,fire
22:54:45,1,1001,488,709,915,915,fire
22:54:46,1,1001,496,708,869,869,fire
22:54:47,1,1001,498,706,921,921,fire
22:54:48,1,1001,497,705,824,824,fire
22:54:49,1,1001,501,704,830,830,fire
22:54:50,1,1001,489,703,866,866,fire
22:54:51,1,1001,496,702,898,898,fire
22:54:52,1,1001,499,701,823,823,fire
22:54:53,1,1002,489,700,905,905,fire
22:54:54,1,1001,496,700,888,888,fire
22:54:55,1,1002,493,700,835,835,fire
22:54:56,1,1001,495,699,927,927,fire
22:54:57,1,,,,,,fire
22:54:58,1,1002,494,696,871,871,fire
22:54:59,1,1002,496,695,904,904,fire
22:55:00,1,1002,498,695,887,887,fire
22:55:01,1,1002,496,694,876,876,fire
22:55:02,1,1002,498,694,907,907,fire
22:55:03,1,1002,502,694,879,879,fire
22:55:04,1,,,,,,fire
22:55:05,1,1002,488,693,822,822,fire
22:55:06,1,1002,490,693,893,893,fire
22:55:07,1,,,,,,fire
22:55:08,1,,,,,,fire
22:55:09,1,1002,492,694,868,868,fire
22:55:10,1,1002,490,694,892,892,fire
22:55:11,1,1001,494,694,856,856,fire
22:55:12,1,1002,505,694,931,931,fire
22:55:13,1,1001,497,693,849,849,fire
22:55:14,1,1002,480,692,916,916,fire
22:55:15,1,1002,479,693,873,873,fire
22:55:16,1,1002,505,695,891,891,fire
22:55:17,1,1002,803,696,949,949,fire
22:55:18,1,,,,,,fire
22:55:19,1,1002,514,699,910,910,fire
22:55:20,1,,,,,,fire
22:55:21,1,1002,464,699,906,906,fire
22:55:22,1,1002,546,699,860,860,fire
22:55:23,1,1002,502,699,872,872,fire
22:55:24,1,1002,481,699,810,810,fire
22:55:25,1,,,,,,fire
22:55:26,1,1002,506,700,870,870,fire
22:55:27,1,1002,507,700,917,917,fire
22:55:28,1,1002,494,699,856,856,fire
22:55:29,1,1001,492,699,849,849,fire
22:55:30,1,1002,479,699,834,834,fire
22:55:31,1,1001,505,699,846,846,fire
22:55:32,1,1002,492,699,869,869,fire
22:55:33,1,1001,494,698,966,966,fire
