Time_Stamp,node_1,light_1,sound_1,temperature_1,smoke_1,sum 
22:50:41,1,0,0,0,0,0
22:50:42,1,1003,493,538,0,2034
22:50:43,1,1003,503,538,0,2044
22:50:44,1,0,0,0,0,0
22:50:45,1,0,0,0,0,0
22:50:46,1,0,0,0,0,0
22:50:47,1,0,0,0,0,0
22:50:48,1,0,0,0,0,0
22:50:49,1,1003,506,539,0,2048
22:50:50,1,1003,469,539,0,2011
22:50:51,1,0,0,0,0,0
22:50:52,1,0,0,0,0,0
22:50:53,1,0,0,0,0,0
22:50:54,1,1003,494,539,0,2036
22:50:55,1,0,0,0,0,0
22:50:56,1,0,0,0,0,0
22:50:57,1,0,0,0,0,0
22:50:58,1,0,0,0,0,0
22:50:59,1,1003,499,538,0,2040
22:51:00,1,1003,494,538,0,2035
22:51:01,1,0,0,0,0,0
22:51:02,1,1003,495,538,0,2036
22:51:03,1,1003,470,538,0,2011
22:51:04,1,0,0,0,0,0
22:51:05,1,1003,491,538,0,2032
22:51:06,1,1003,485,538,0,2026
22:51:07,1,1003,494,538,0,2035
22:51:08,1,1003,489,538,0,2030
22:51:09,1,1003,487,539,0,2029
22:51:10,1,0,0,0,0,0
22:51:11,1,1002,478,538,0,2018
22:51:12,1,1003,492,539,0,2034
22:51:13,1,1002,497,538,0,2037
22:51:14,1,1003,482,538,0,2023
22:51:15,1,0,0,0,0,0
22:51:16,1,1003,492,538,0,2033
22:51:17,1,1003,476,538,0,2017
22:51:18,1,1003,499,538,0,2040
22:51:19,1,1003,487,538,0,2028
22:51:20,1,1003,496,538,0,2037
22:51:21,1,1003,527,538,0,2068
22:51:22,1,0,0,0,0,0
22:51:23,1,0,0,0,0,0
22:51:24,1,0,0,0,0,0
22:51:25,1,0,0,0,0,0
22:51:26,1,1003,642,539,0,2184
22:51:27,1,0,0,0,0,0
22:51:28,1,1003,498,538,0,2039
22:51:29,1,1003,494,538,0,2035
22:51:30,1,1003,500,538,0,2041
22:51:31,1,1003,500,538,0,2041
22:51:32,1,1002,496,538,0,2036
22:51:33,1,1003,471,538,0,2012
22:51:34,1,1003,490,538,0,2031
22:51:35,1,1003,496,538,0,2037
22:51:36,1,1003,498,538,0,2039
22:51:37,1,1003,501,538,0,2042
22:51:38,1,0,0,0,0,0
22:51:39,1,0,0,0,0,0
