time_stamp,node,light,sound,temp,smoke
22:50:41,5,,,,
22:50:42,5,1001,494,534,
22:50:43,5,1001,510,534,
22:50:44,5,1001,494,534,
22:50:45,5,1001,499,534,
22:50:46,5,1001,485,534,
22:50:47,5,1001,507,534,
22:50:48,5,1000,493,534,
22:50:49,5,,,,
22:50:50,5,1001,485,534,
22:50:51,5,1001,492,535,
22:50:52,5,1000,485,534,
22:50:53,5,999,544,535,
22:50:54,5,1000,384,535,
22:50:55,5,1000,476,535,
22:50:56,5,999,558,534,
22:50:57,5,999,498,534,
22:50:58,5,999,495,534,
22:50:59,5,999,462,535,
22:51:00,5,999,498,534,
22:51:01,5,999,484,535,
22:51:02,5,999,514,535,
22:51:03,5,1015,525,541,
22:51:04,5,,,,
22:51:05,5,999,481,539,
22:51:06,5,999,545,538,
22:51:07,5,999,454,538,
22:51:08,5,999,498,538,
22:51:09,5,999,492,537,
22:51:10,5,999,490,537,
22:51:11,5,1012,497,540,
22:51:12,5,1000,503,542,
22:51:13,5,1001,489,540,
22:51:14,5,1000,483,538,
22:51:15,5,1001,492,538,
22:51:16,5,1000,759,538,
22:51:17,5,1000,470,538,
22:51:18,5,1000,498,538,
22:51:19,5,1000,484,537,
22:51:20,5,1000,496,537,
22:51:21,5,1000,505,537,
22:51:22,5,1000,495,537,
22:51:23,5,999,592,537,
22:51:24,5,999,489,537,
22:51:25,5,999,491,537,
22:51:26,5,1000,501,537,
22:51:27,5,999,546,537,
22:51:28,5,999,967,537,
22:51:29,5,999,485,537,
22:51:30,5,999,467,537,
22:51:31,5,1000,510,537,
22:51:32,5,1000,525,537,
22:51:33,5,1000,427,536,
22:51:34,5,999,725,537,
22:51:35,5,1000,553,536,
22:51:36,5,999,518,536,
22:51:37,5,1000,491,537,
22:51:38,5,1000,443,537,103
22:51:39,5,1001,489,537,189
22:51:40,5,1001,492,537,115
22:51:41,5,1002,476,537,422
22:51:42,5,1001,482,537,518
22:51:43,5,1002,486,537,650
22:51:44,5,1001,505,537,590
22:51:45,5,1001,555,537,514
22:51:46,5,,,,
22:51:47,5,1001,502,536,550
22:51:48,5,,,,
22:51:49,5,1001,499,536,583
22:51:50,5,1001,502,537,494
22:51:51,5,1001,481,536,536
22:51:52,5,1001,490,536,494
22:51:53,5,1002,501,536,545
22:51:54,5,1002,484,538,351
22:51:55,5,1001,488,539,622
22:51:56,5,1002,862,541,536
22:51:57,5,1005,485,550,733
22:51:58,5,1002,470,562,486
22:51:59,5,1003,420,564,460
22:52:00,5,1003,499,567,324
22:52:01,5,1003,491,570,609
22:52:02,5,1003,493,573,403
22:52:03,5,1003,472,578,703
22:52:04,5,1003,459,582,566
22:52:05,5,1003,492,586,499
22:52:06,5,,,,
22:52:07,5,1002,484,591,454
22:52:08,5,1002,481,591,624
22:52:09,5,1002,516,592,455
22:52:10,5,,,,
22:52:11,5,1001,474,592,467
22:52:12,5,1002,490,594,633
22:52:13,5,1002,498,595,560
22:52:14,5,1002,503,597,562
22:52:15,5,1002,472,599,453
22:52:16,5,1002,506,600,616
22:52:17,5,1001,480,601,668
22:52:18,5,,,,
22:52:19,5,1002,511,602,449
22:52:20,5,1001,513,601,448
22:52:21,5,1001,449,600,521
22:52:22,5,1001,494,599,371
22:52:23,5,1002,479,599,598
22:52:24,5,1002,570,598,440
22:52:25,5,1002,520,598,715
22:52:26,5,1002,484,597,540
22:52:27,5,1001,849,596,306
22:52:28,5,1002,492,597,375
22:52:29,5,1001,493,597,594
22:52:30,5,1002,521,599,460
22:52:31,5,1002,500,600,262
22:52:32,5,1001,512,599,319
22:52:33,5,,,,
22:52:34,5,1002,497,598,876
22:52:35,5,1001,485,598,883
22:52:36,5,1001,505,598,898
22:52:37,5,1002,475,597,890
22:52:38,5,1001,454,598,932
22:52:39,5,1001,497,597,830
22:52:40,5,1001,532,596,880
22:52:41,5,1002,488,596,804
22:52:42,5,1002,571,596,858
22:52:43,5,1002,475,596,959
22:52:44,5,1001,448,595,852
22:52:45,5,1001,431,594,770
22:52:46,5,1001,484,594,786
22:52:47,5,1001,492,593,952
22:52:48,5,1001,490,593,813
22:52:49,5,1001,518,592,881
22:52:50,5,1002,497,593,950
22:52:51,5,1002,497,593,940
22:52:52,5,1002,499,592,843
22:52:53,5,1001,501,592,865
22:52:54,5,1001,461,592,794
22:52:55,5,1001,531,591,872
22:52:56,5,1001,559,590,826
22:52:57,5,1001,488,589,934
22:52:58,5,1001,481,590,820
22:52:59,5,1001,505,589,833
22:53:00,5,1001,476,589,889
22:53:01,5,1001,489,590,762
22:53:02,5,1001,510,588,806
22:53:03,5,1002,497,590,982
22:53:04,5,1001,497,591,796
22:53:05,5,1001,488,592,973
22:53:06,5,1002,530,592,889
22:53:07,5,1001,502,591,832
22:53:08,5,1001,523,591,815
22:53:09,5,1002,494,594,820
22:53:10,5,1002,478,594,933
22:53:11,5,1002,507,598,886
22:53:12,5,1002,492,602,951
22:53:13,5,1002,484,603,849
22:53:14,5,1002,498,604,757
22:53:15,5,1002,516,605,903
22:53:16,5,1002,506,606,860
22:53:17,5,1002,511,606,897
