time_stamp,node,light,sound,temp,smoke
22:50:41,3,,,,
22:50:42,3,,,,
22:50:43,3,,,,
22:50:44,3,,,,
22:50:45,3,,,,
22:50:46,3,,,,
22:50:47,3,,,,
22:50:48,3,998,499,526,
22:50:49,3,999,504,526,
22:50:50,3,998,520,526,
22:50:51,3,,,,
22:50:52,3,998,487,526,
22:50:53,3,,,,
22:50:54,3,,,,
22:50:55,3,,,,
22:50:56,3,,,,
22:50:57,3,998,498,526,
22:50:58,3,,,,
22:50:59,3,999,497,526,
22:51:00,3,,,,
22:51:01,3,,,,
22:51:02,3,,,,
22:51:03,3,,,,
22:51:04,3,,,,
22:51:05,3,999,477,526,
22:51:06,3,,,,
22:51:07,3,,,,
22:51:08,3,,,,
22:51:09,3,,,,
22:51:10,3,,,,
22:51:11,3,997,505,525,
22:51:12,3,,,,
22:51:13,3,,,,
22:51:14,3,998,501,525,
22:51:15,3,,,,
22:51:16,3,,,,
22:51:17,3,,,,
22:51:18,3,,,,
22:51:19,3,,,,
22:51:20,3,,,,
22:51:21,3,998,491,525,
22:51:22,3,,,,
22:51:23,3,,,,
22:51:24,3,,,,
22:51:25,3,,,,
22:51:26,3,,,,
22:51:27,3,998,501,525,
22:51:28,3,,,,
22:51:29,3,,,,
22:51:30,3,,,,
22:51:31,3,,,,
22:51:32,3,,,,
22:51:33,3,,,,
22:51:34,3,,,,
22:51:35,3,,,,
22:51:36,3,998,880,525,
22:51:37,3,,,,
22:51:38,3,,,,
22:51:39,3,,,,
22:51:40,3,,,,
22:51:41,3,,,,
22:51:42,3,,,,
22:51:43,3,,,,
22:51:44,3,,,,
22:51:45,3,,,,
22:51:46,3,998,507,526,690
22:51:47,3,,,,
22:51:48,3,,,,
22:51:49,3,,,,
22:51:50,3,998,501,526,518
22:51:51,3,,,,
22:51:52,3,,,,
22:51:53,3,,,,
22:51:54,3,,,,
22:51:55,3,,,,
22:51:56,3,,,,
22:51:57,3,,,,
22:51:58,3,,,,
22:51:59,3,1004,551,585,648
22:52:00,3,,,,
22:52:01,3,1003,494,596,730
22:52:02,3,,,,
22:52:03,3,,,,
22:52:04,3,,,,
22:52:05,3,,,,
22:52:06,3,1001,492,641,442
22:52:07,3,1001,492,641,378
22:52:08,3,1001,489,643,664
22:52:09,3,999,497,645,684
22:52:10,3,,,,
22:52:11,3,999,522,646,565
22:52:12,3,999,493,651,726
22:52:13,3,1000,464,654,617
22:52:14,3,1000,512,658,623
22:52:15,3,,,,
22:52:16,3,,,,
22:52:17,3,,,,
22:52:18,3,,,,
22:52:19,3,,,,
22:52:20,3,999,501,672,567
22:52:21,3,998,510,672,675
22:52:22,3,,,,
22:52:23,3,998,482,677,494
22:52:24,3,998,458,678,546
22:52:25,3,998,502,679,589
22:52:26,3,998,463,681,422
22:52:27,3,998,474,682,558
22:52:28,3,998,490,687,431
22:52:29,3,,,,
22:52:30,3,998,498,700,492
22:52:31,3,998,496,702,593
22:52:32,3,997,488,702,482
22:52:33,3,998,490,702,850
22:52:34,3,,,,
22:52:35,3,997,478,701,825
22:52:36,3,998,481,702,774
22:52:37,3,998,503,703,867
22:52:38,3,998,510,706,831
22:52:39,3,998,509,702,850
22:52:40,3,997,473,702,897
22:52:41,3,997,503,702,848
22:52:42,3,998,489,702,815
22:52:43,3,998,500,702,859
22:52:44,3,997,498,701,874
22:52:45,3,997,508,701,837
22:52:46,3,997,492,700,875
22:52:47,3,997,493,700,839
22:52:48,3,998,503,700,838
22:52:49,3,998,507,700,961
22:52:50,3,,,,
22:52:51,3,998,514,702,936
22:52:52,3,,,,
22:52:53,3,997,491,705,854
22:52:54,3,997,491,704,810
22:52:55,3,997,488,704,906
22:52:56,3,997,517,703,788
22:52:57,3,997,497,702,850
22:52:58,3,,,,
22:52:59,3,997,502,701,942
22:53:00,3,997,457,701,953
22:53:01,3,997,495,709,807
22:53:02,3,,,,
22:53:03,3,998,508,707,871
22:53:04,3,997,505,709,855
22:53:05,3,998,448,710,883
22:53:06,3,996,502,714,964
22:53:07,3,996,471,712,876
22:53:08,3,998,498,714,953
22:53:09,3,997,487,716,913
22:53:10,3,997,493,717,875
22:53:11,3,999,511,720,842
22:53:12,3,999,496,726,823
22:53:13,3,999,505,728,877
22:53:14,3,999,498,729,851
22:53:15,3,998,488,731,846
22:53:16,3,999,509,732,821
22:53:17,3,999,525,733,762
22:53:18,3,998,489,735,852
22:53:19,3,997,483,735,769
22:53:20,3,997,486,734,862
