time_stamp,node,light,sound,temp,smoke
22:50:41,2,,,,
22:50:42,2,1005,492,534,
22:50:43,2,1005,515,535,
22:50:44,2,1004,491,534,
22:50:45,2,1004,492,534,
22:50:46,2,1004,488,535,
22:50:47,2,1004,493,535,
22:50:48,2,1004,493,535,
22:50:49,2,1004,496,535,
22:50:50,2,1002,484,535,
22:50:51,2,1002,471,535,
22:50:52,2,1002,484,535,
22:50:53,2,1001,494,535,
22:50:54,2,1001,486,535,
22:50:55,2,,,,
22:50:56,2,1003,489,535,
22:50:57,2,1001,492,535,
22:50:58,2,1001,496,535,
22:50:59,2,1002,486,535,
22:51:00,2,1002,538,535,
22:51:01,2,1001,514,535,
22:51:02,2,1002,498,535,
22:51:03,2,1003,492,535,
22:51:04,2,1004,481,535,
22:51:05,2,1002,489,535,
22:51:06,2,1003,512,535,
22:51:07,2,1002,488,535,
22:51:08,2,1002,498,535,
22:51:09,2,1003,498,535,
22:51:10,2,,,,
22:51:11,2,,,,
22:51:12,2,,,,
22:51:13,2,,,,
22:51:14,2,1003,498,535,
22:51:15,2,,,,
22:51:16,2,1003,502,535,
22:51:17,2,,,,
22:51:18,2,,,,
22:51:19,2,,,,
22:51:20,2,1003,484,535,
22:51:21,2,,,,
22:51:22,2,,,,
22:51:23,2,1001,496,535,
22:51:24,2,1002,490,535,
22:51:25,2,1002,486,536,
22:51:26,2,,,,
22:51:27,2,1001,505,535,
22:51:28,2,1001,494,535,
22:51:29,2,1001,500,535,
22:51:30,2,1001,494,535,
22:51:31,2,1002,486,535,
22:51:32,2,1001,488,535,
22:51:33,2,1002,486,535,
22:51:34,2,1001,477,535,
22:51:35,2,1002,477,535,
22:51:36,2,1002,479,535,
22:51:37,2,1002,482,535,
22:51:38,2,1002,493,535,170
22:51:39,2,1002,485,536,132
22:51:40,2,1002,482,536,107
22:51:41,2,1002,482,536,517
22:51:42,2,1002,488,536,413
22:51:43,2,1001,489,536,364
22:51:44,2,1002,486,536,422
22:51:45,2,1002,492,536,552
22:51:46,2,1002,489,536,494
22:51:47,2,1001,498,536,562
22:51:48,2,,,,
22:51:49,2,1002,488,536,535
22:51:50,2,1000,490,536,431
22:51:51,2,1001,484,536,491
22:51:52,2,,,,
22:51:53,2,1001,486,536,458
22:51:54,2,1002,495,538,539
22:51:55,2,1002,490,541,474
22:51:56,2,1002,497,543,475
22:51:57,2,1003,481,546,514
22:51:58,2,1005,486,550,643
22:51:59,2,1006,489,566,524
22:52:00,2,1006,505,575,436
22:52:01,2,1005,503,588,434
22:52:02,2,1004,530,596,469
22:52:03,2,1004,491,602,537
22:52:04,2,1004,493,609,511
22:52:05,2,1004,478,616,391
22:52:06,2,1003,482,632,454
22:52:07,2,1003,479,631,511
22:52:08,2,1004,498,634,311
22:52:09,2,,,,
22:52:10,2,1003,531,645,557
22:52:11,2,1002,496,656,513
22:52:12,2,1002,387,659,356
22:52:13,2,1003,488,661,496
22:52:14,2,1002,484,666,491
22:52:15,2,1002,488,667,587
22:52:16,2,1002,494,674,453
22:52:17,2,1001,491,681,433
22:52:18,2,1002,481,687,519
22:52:19,2,1000,495,691,471
22:52:20,2,999,486,692,479
22:52:21,2,1000,501,692,510
22:52:22,2,1000,498,693,528
22:52:23,2,1000,473,696,455
22:52:24,2,1000,488,697,487
22:52:25,2,1000,480,698,542
22:52:26,2,1000,494,700,463
22:52:27,2,1000,497,701,420
22:52:28,2,1001,474,703,533
22:52:29,2,1001,515,708,490
22:52:30,2,1001,476,710,619
22:52:31,2,1000,513,714,316
22:52:32,2,999,493,715,443
22:52:33,2,999,500,715,842
22:52:34,2,1000,513,718,901
22:52:35,2,999,466,719,773
22:52:36,2,999,501,721,876
22:52:37,2,,,,
22:52:38,2,1000,516,723,926
22:52:39,2,,,,
22:52:40,2,999,488,727,877
22:52:41,2,999,489,727,922
22:52:42,2,999,484,729,854
22:52:43,2,999,518,731,903
22:52:44,2,999,494,733,892
22:52:45,2,999,455,734,859
22:52:46,2,999,499,734,790
22:52:47,2,999,479,735,856
22:52:48,2,998,484,735,911
22:52:49,2,999,513,740,891
22:52:50,2,998,500,742,878
22:52:51,2,998,481,744,898
22:52:52,2,999,507,746,874
22:52:53,2,999,483,749,957
22:52:54,2,998,492,749,861
22:52:55,2,999,501,751,843
22:52:56,2,998,496,752,900
22:52:57,2,998,489,754,875
22:52:58,2,997,477,755,918
22:52:59,2,,,,
22:53:00,2,,,,
22:53:01,2,997,495,756,912
22:53:02,2,997,474,757,794
22:53:03,2,998,527,759,875
22:53:04,2,999,485,761,911
22:53:05,2,998,487,762,782
22:53:06,2,998,479,762,901
22:53:07,2,998,473,765,860
22:53:08,2,998,467,766,907
22:53:09,2,998,498,768,901
22:53:10,2,998,503,771,899
22:53:11,2,1000,505,773,864
22:53:12,2,999,492,776,920
22:53:13,2,,,,
22:53:14,2,999,496,781,847
22:53:15,2,,,,
22:53:16,2,,,,
22:53:17,2,,,,
22:53:18,2,,,,
22:53:19,2,,,,
22:53:20,2,,,,
22:53:21,2,,,,
22:53:22,2,,,,
22:53:23,2,,,,
22:53:24,2,,,,
22:53:25,2,,,,
22:53:26,2,,,,
22:53:27,2,,,,
22:53:28,2,,,,
22:53:29,2,,,,
22:53:30,2,,,,
22:53:31,2,,,,
22:53:32,2,,,,
22:53:33,2,,,,
22:53:34,2,,,,
22:53:35,2,,,,
22:53:36,2,,,,
22:53:37,2,,,,
22:53:38,2,,,,
22:53:39,2,,,,
22:53:40,2,,,,
22:53:41,2,,,,
22:53:42,2,,,,
22:53:43,2,,,,
22:53:44,2,,,,
22:53:45,2,,,,
22:53:46,2,,,,
22:53:47,2,,,,
22:53:48,2,,,,
22:53:49,2,,,,
22:53:50,2,,,,
22:53:51,2,,,,
22:53:52,2,,,,
22:53:53,2,,,,
22:53:54,2,,,,
22:53:55,2,,,,
22:53:56,2,,,,
22:53:57,2,,,,
22:53:58,2,,,,
22:53:59,2,,,,
22:54:00,2,,,,
22:54:01,2,,,,
22:54:02,2,,,,
22:54:03,2,,,,
22:54:04,2,,,,
22:54:05,2,,,,
22:54:06,2,,,,
22:54:07,2,,,,
22:54:08,2,,,,
22:54:09,2,,,,
22:54:10,2,,,,
22:54:11,2,,,,
22:54:12,2,,,,
22:54:13,2,,,,
22:54:14,2,,,,
22:54:15,2,,,,
22:54:16,2,,,,
22:54:17,2,,,,
22:54:18,2,,,,
22:54:19,2,,,,
22:54:20,2,,,,
22:54:21,2,,,,
22:54:22,2,,,,
22:54:23,2,,,,
22:54:24,2,,,,
22:54:25,2,,,,
22:54:26,2,,,,
22:54:27,2,,,,
22:54:28,2,,,,
22:54:29,2,,,,
22:54:30,2,,,,
22:54:31,2,,,,
22:54:32,2,,,,
22:54:33,2,,,,
22:54:34,2,,,,
22:54:35,2,,,,
22:54:36,2,,,,
22:54:37,2,,,,
22:54:38,2,,,,
22:54:39,2,,,,
22:54:40,2,,,,
22:54:41,2,,,,
22:54:42,2,,,,
22:54:43,2,,,,
22:54:44,2,,,,
22:54:45,2,,,,
22:54:46,2,,,,
22:54:47,2,,,,
22:54:48,2,,,,
22:54:49,2,,,,
22:54:50,2,,,,
22:54:51,2,,,,
22:54:52,2,,,,
22:54:53,2,,,,
22:54:54,2,,,,
22:54:55,2,,,,
22:54:56,2,,,,
22:54:57,2,,,,
22:54:58,2,,,,
22:54:59,2,,,,
22:55:00,2,,,,
22:55:01,2,,,,
