time_stamp,node,light,sound,temp,smoke
22:54:09,1,1001,498,700,897
22:54:10,1,1001,488,700,855
22:54:11,1,1002,465,700,763
22:54:12,1,1001,489,700,860
22:54:13,1,1001,509,700,879
22:54:14,1,1001,510,700,977
22:54:15,1,1002,483,700,889
22:54:16,1,1004,510,704,755
22:54:17,1,,,,
22:54:18,1,1003,502,707,861
22:54:19,1,,,,
22:54:20,1,1002,493,708,921
22:54:21,1,1003,497,709,974
22:54:22,1,1002,489,709,854
22:54:23,1,1001,486,709,867
22:54:24,1,1002,494,710,893
22:54:25,1,1001,498,711,884
22:54:26,1,1001,490,711,840
22:54:27,1,1001,485,711,870
22:54:28,1,1001,499,711,910
22:54:29,1,1001,486,712,778
22:54:30,1,1001,497,712,934
22:54:31,1,1001,497,712,869
22:54:32,1,1001,496,712,938
22:54:33,1,1001,500,712,893
22:54:34,1,1001,494,712,891
22:54:35,1,1001,496,712,893
22:54:36,1,1001,498,712,886
22:54:37,1,1001,500,712,901
22:54:38,1,1001,496,712,906
22:54:39,1,1001,480,711,920
22:54:40,1,1001,493,711,887
22:54:41,1,1001,492,710,762
22:54:42,1,1001,498,710,889
22:54:43,1,1001,485,710,873
22:54:44,1,1001,493,710,811
22:54:45,1,1001,488,709,915
22:54:46,1,1001,496,708,869
22:54:47,1,1001,498,706,921
22:54:48,1,1001,497,705,824
22:54:49,1,1001,501,704,830
22:54:50,1,1001,489,703,866
22:54:51,1,1001,496,702,898
22:54:52,1,1001,499,701,823
22:54:53,1,1002,489,700,905
22:54:54,1,1001,496,700,888
22:54:55,1,1002,493,700,835
22:54:56,1,1001,495,699,927
22:54:57,1,,,,
22:54:58,1,1002,494,696,871
22:54:59,1,1002,496,695,904
22:55:00,1,1002,498,695,887
22:55:01,1,1002,496,694,876
22:55:02,1,1002,498,694,907
22:55:03,1,1002,502,694,879
22:55:04,1,,,,
22:55:05,1,1002,488,693,822
22:55:06,1,1002,490,693,893
22:55:07,1,,,,
22:55:08,1,,,,
22:55:09,1,1002,492,694,868
22:55:10,1,1002,490,694,892
22:55:11,1,1001,494,694,856
22:55:12,1,1002,505,694,931
22:55:13,1,1001,497,693,849
22:55:14,1,1002,480,692,916
22:55:15,1,1002,479,693,873
22:55:16,1,1002,505,695,891
22:55:17,1,1002,803,696,949
22:55:18,1,,,,
22:55:19,1,1002,514,699,910
22:55:20,1,,,,
22:55:21,1,1002,464,699,906
22:55:22,1,1002,546,699,860
22:55:23,1,1002,502,699,872
22:55:24,1,1002,481,699,810
22:55:25,1,,,,
22:55:26,1,1002,506,700,870
22:55:27,1,1002,507,700,917
22:55:28,1,1002,494,699,856
22:55:29,1,1001,492,699,849
22:55:30,1,1002,479,699,834
22:55:31,1,1001,505,699,846
22:55:32,1,1002,492,699,869
22:55:33,1,1001,494,698,966
22:55:34,1,1001,500,698,880
22:55:35,1,1001,497,698,801
22:55:36,1,1001,493,698,838
22:55:37,1,,,,
22:55:38,1,1002,502,698,797
22:55:39,1,,,,
22:55:40,1,,,,
22:55:41,1,,,,
22:55:42,1,1002,499,697,911
22:55:43,1,1002,515,697,902
22:55:44,1,,,,
22:55:45,1,,,,
22:55:46,1,1002,492,696,836
22:55:47,1,,,,
22:55:48,1,1001,494,695,928
22:55:49,1,,,,
22:55:50,1,,,,
22:55:51,1,1002,507,695,865
22:55:52,1,,,,
22:55:53,1,,,,
22:55:54,1,,,,
22:55:55,1,1002,494,694,954
22:55:56,1,1002,485,692,924
22:55:57,1,1002,502,692,761
22:55:58,1,1002,491,691,924
22:55:59,1,,,,
22:56:00,1,1002,504,690,911
22:56:01,1,,,,
22:56:02,1,,,,
22:56:03,1,,,,
22:56:04,1,,,,
22:56:05,1,,,,
22:56:06,1,1002,497,688,947
22:56:07,1,1002,498,688,872
22:56:08,1,,,,
22:56:09,1,,,,
22:56:10,1,,,,
22:56:11,1,,,,
22:56:12,1,,,,
22:56:13,1,,,,
22:56:14,1,,,,
22:56:15,1,,,,
22:56:16,1,,,,
22:56:17,1,1001,497,683,759
22:56:18,1,1001,487,682,443
22:56:19,1,,,,
22:56:20,1,1002,505,682,637
22:56:21,1,,,,
22:56:22,1,,,,
22:56:23,1,,,,
22:56:24,1,,,,
22:56:25,1,,,,
22:56:26,1,1002,502,682,339
22:56:27,1,1002,502,681,416
22:56:28,1,,,,
22:56:29,1,,,,
22:56:30,1,1002,489,681,689
22:56:31,1,1001,509,682,445
22:56:32,1,1002,490,681,421
22:56:33,1,1001,482,681,492
22:56:34,1,1001,498,680,604
22:56:35,1,1002,491,680,589
22:56:36,1,1002,478,679,685
22:56:37,1,1002,481,680,544
22:56:38,1,1002,489,681,562
22:56:39,1,1003,466,684,365
22:56:40,1,1002,511,686,462
22:56:41,1,1002,508,686,582
22:56:42,1,1003,507,687,586
22:56:43,1,1003,496,689,412
22:56:44,1,1002,492,694,466
22:56:45,1,1002,504,692,569
22:56:46,1,1002,479,691,518
22:56:47,1,1002,495,691,458
22:56:48,1,1002,491,692,541
22:56:49,1,1002,491,693,529
22:56:50,1,1002,497,692,521
22:56:51,1,1002,492,692,530
22:56:52,1,1002,497,692,557
22:56:53,1,1002,495,691,489
22:56:54,1,1001,494,692,580
22:56:55,1,1001,494,692,523
22:56:56,1,1001,500,692,542
22:56:57,1,1001,494,693,532
22:56:58,1,1002,498,694,513
22:56:59,1,1001,491,694,918
22:57:00,1,1002,517,693,902
22:57:01,1,1001,491,694,917
22:57:02,1,1001,496,693,906
22:57:03,1,1001,490,693,893
22:57:04,1,1001,497,693,900
22:57:05,1,1001,493,693,872
22:57:06,1,1001,493,692,905
22:57:07,1,1001,480,692,910
22:57:08,1,1001,490,692,900
22:57:09,1,1001,496,691,878
22:57:10,1,1001,488,691,917
22:57:11,1,1001,489,691,929
22:57:12,1,1001,490,690,908
22:57:13,1,1002,489,690,906
22:57:14,1,1002,492,690,918
22:57:15,1,1001,490,688,919
22:57:16,1,1002,490,687,923
22:57:17,1,1002,492,687,888
22:57:18,1,1002,489,686,906
22:57:19,1,,,,
22:57:20,1,1002,506,684,314
22:57:21,1,,,,
22:57:22,1,,,,
22:57:23,1,1002,496,683,493
22:57:24,1,1001,494,683,459
22:57:25,1,1002,494,683,523
22:57:26,1,1002,498,682,502
22:57:27,1,1001,489,681,525
22:57:28,1,1002,493,681,507
22:57:29,1,1003,492,681,462
22:57:30,1,1003,488,680,425
22:57:31,1,1003,490,678,481
22:57:32,1,1003,486,677,421
22:57:33,1,1002,495,677,445
22:57:34,1,,,,
22:57:35,1,1003,492,676,706
22:57:36,1,1002,494,676,361
22:57:37,1,1003,485,675,732
22:57:38,1,1002,493,675,503
22:57:39,1,1003,490,674,545
22:57:40,1,1002,492,674,412
22:57:41,1,1002,496,674,564
22:57:42,1,1002,501,674,578
22:57:43,1,1002,480,674,542
22:57:44,1,1002,493,674,484
22:57:45,1,1002,491,674,465
22:57:46,1,1003,494,673,488
22:57:47,1,1002,493,673,608
22:57:48,1,1002,492,672,534
22:57:49,1,1002,492,672,561
22:57:50,1,1002,493,672,467
22:57:51,1,1002,494,672,583
22:57:52,1,1002,505,672,482
22:57:53,1,1002,491,671,458
22:57:54,1,1002,492,670,472
22:57:55,1,1002,488,672,478
22:57:56,1,1002,492,672,546
22:57:57,1,1003,509,673,513
22:57:58,1,1002,497,673,475
22:57:59,1,1002,491,672,472
22:58:00,1,1002,483,670,548
22:58:01,1,1002,496,670,477
22:58:02,1,1002,489,668,896
22:58:03,1,1002,489,666,914
22:58:04,1,1002,493,665,914
22:58:05,1,1003,489,664,901
22:58:06,1,1002,497,664,919
22:58:07,1,1002,501,663,889
22:58:08,1,1002,494,662,918
22:58:09,1,1002,491,662,874
22:58:10,1,1002,495,661,891
22:58:11,1,1002,493,660,900
22:58:12,1,1002,499,660,903
22:58:13,1,1002,491,660,902
22:58:14,1,1002,490,660,904
22:58:15,1,1002,493,660,904
22:58:16,1,1002,486,660,912
22:58:17,1,1002,495,660,882
22:58:18,1,1002,490,660,877
22:58:19,1,1002,491,660,896
22:58:20,1,1002,491,659,899
22:58:21,1,1002,492,657,911
22:58:22,1,1002,495,655,896
22:58:23,1,1002,491,654,919
22:58:24,1,1002,500,653,892
22:58:25,1,1002,491,653,885
22:58:26,1,1002,492,653,901
22:58:27,1,1002,497,653,878
22:58:28,1,1002,495,654,892
22:58:29,1,1002,493,653,865
22:58:30,1,1002,488,653,882
22:58:31,1,1002,493,653,892
22:58:32,1,1002,491,653,883
22:58:33,1,1002,491,654,899
22:58:34,1,1002,492,654,918
22:58:35,1,1002,495,654,496
22:58:36,1,1002,490,655,481
22:58:37,1,1002,491,654,505
22:58:38,1,1002,497,654,540
22:58:39,1,1002,494,653,542
22:58:40,1,1002,497,652,366
22:58:41,1,1002,497,652,607
22:58:42,1,1002,496,652,539
22:58:43,1,1002,491,652,579
22:58:44,1,1002,491,652,558
22:58:45,1,1002,491,651,543
22:58:46,1,1002,487,653,525
22:58:47,1,1002,495,663,484
22:58:48,1,1002,492,660,503
22:58:49,1,1002,495,657,538
22:58:50,1,1002,492,657,542
22:58:51,1,1002,496,656,540
22:58:52,1,1002,494,656,500
22:58:53,1,1002,499,656,894
22:58:54,1,1002,491,656,914
22:58:55,1,1002,495,656,901
22:58:56,1,1002,494,657,913
22:58:57,1,1002,484,657,906
22:58:58,1,1002,508,657,896
22:58:59,1,1002,495,657,898
22:59:00,1,1002,495,658,885
22:59:01,1,1002,493,658,897
22:59:02,1,1001,495,659,881
22:59:03,1,1001,496,659,910
22:59:04,1,1001,494,659,898
22:59:05,1,1001,494,659,865
22:59:06,1,1001,494,660,915
22:59:07,1,1001,494,660,903
22:59:08,1,1001,494,660,898
22:59:09,1,1002,488,660,912
22:59:10,1,1001,492,661,880
22:59:11,1,1002,493,660,896
22:59:12,1,1001,496,661,877
22:59:13,1,1002,495,662,907
22:59:14,1,1001,494,662,895
22:59:15,1,1002,493,661,892
22:59:16,1,1002,507,661,884
22:59:17,1,1002,489,661,910
22:59:18,1,1002,495,661,900
22:59:19,1,1002,496,661,876
22:59:20,1,1002,493,661,909
22:59:21,1,1002,492,661,904
22:59:22,1,1001,493,660,900
22:59:23,1,1002,496,659,911
22:59:24,1,1002,492,658,909
22:59:25,1,1002,493,659,904
22:59:26,1,1002,493,659,895
22:59:27,1,1002,494,658,874
22:59:28,1,1002,492,658,924
22:59:29,1,1002,494,658,911
22:59:30,1,1002,489,657,920
22:59:31,1,1002,493,657,874
22:59:32,1,,,,
22:59:33,1,1002,490,659,934
22:59:34,1,1003,470,656,867
22:59:35,1,1003,498,655,952
22:59:36,1,1003,493,655,895
22:59:37,1,1003,506,654,848
22:59:38,1,1003,495,654,860
22:59:39,1,1002,500,653,961
22:59:40,1,1002,498,653,836
22:59:41,1,1001,499,652,883
22:59:42,1,1002,491,651,870
22:59:43,1,1002,497,651,880
22:59:44,1,1002,496,651,862
22:59:45,1,1001,501,650,845
22:59:46,1,,,,
22:59:47,1,,,,
22:59:48,1,,,,
22:59:49,1,1002,487,647,893
22:59:50,1,1002,490,647,909
22:59:51,1,1003,495,647,956
22:59:52,1,1002,499,646,894
22:59:53,1,,,,
22:59:54,1,1003,507,646,903
22:59:55,1,1003,503,645,979
22:59:56,1,1003,498,645,908
22:59:57,1,1003,491,645,977
22:59:58,1,,,,
22:59:59,1,1003,490,643,886
23:00:00,1,1003,498,642,842
23:00:01,1,1004,493,642,907
23:00:02,1,1003,494,642,896
23:00:03,1,1003,484,641,929
23:00:04,1,,,,
23:00:05,1,,,,
23:00:06,1,1003,493,641,849
23:00:07,1,1003,498,640,928
23:00:08,1,1002,497,640,885
23:00:09,1,1003,490,640,871
23:00:10,1,1003,495,640,891
23:00:11,1,1003,497,640,900
23:00:12,1,1003,493,639,894
23:00:13,1,1003,495,638,900
23:00:14,1,1003,492,638,908
23:00:15,1,,,,
23:00:16,1,1003,494,638,906
23:00:17,1,1003,489,637,987
23:00:18,1,,,,
23:00:19,1,1003,500,636,897
23:00:20,1,,,,
23:00:21,1,1002,506,636,909
23:00:22,1,1002,491,638,880
23:00:23,1,,,,
23:00:24,1,1003,496,640,915
23:00:25,1,1002,494,640,898
23:00:26,1,1002,503,640,860
23:00:27,1,1002,484,640,944
23:00:28,1,1002,495,639,936
23:00:29,1,1002,494,640,954
23:00:30,1,,,,
23:00:31,1,,,,
23:00:32,1,1002,500,639,910
23:00:33,1,,,,
23:00:34,1,1002,490,639,850
23:00:35,1,1002,495,639,998
23:00:36,1,1002,491,638,875
23:00:37,1,,,,
23:00:38,1,,,,
23:00:39,1,1002,497,638,956
23:00:40,1,,,,
23:00:41,1,1002,504,636,974
23:00:42,1,1003,471,636,971
23:00:43,1,1002,485,636,967
23:00:44,1,1002,494,636,943
23:00:45,1,,,,
23:00:46,1,,,,
23:00:47,1,1002,483,634,982
